Word;phon;lemme;cgram;freqlemfilms2;freqfilms2;islem;nblettres;puorth;puphon;nbsyll;cgramortho
abaca;abaka;abaca;NOM;0,01;0,01;1;5;4;5;3;NOM
abats;aba;abat;NOM;0,65;0,52;0;5;0;3;2;NOM,VER
abats;aba;abattre;VER;43,47;1,79;0;5;0;3;2;NOM,VER
abbés;abe;abbé;NOM;4,46;0,02;0;5;0;3;2;NOM
abcès;apsE;abcès;NOM;1,79;1,79;1;5;4;4;2;NOM
abdos;abdo;abdos;NOM;0,86;0,86;1;5;5;4;2;NOM
aboie;abwa;aboyer;VER;7,43;2,91;0;5;0;4;2;VER
abois;abwa;aboi;NOM;0,78;0,78;0;5;0;4;2;NOM
aboli;aboli;aboli;ADJ;0,08;0,02;1;5;5;5;3;ADJ,VER
aboli;aboli;abolir;VER;3,08;1,1;0;5;5;5;3;ADJ,VER
abord;abOR;abord;NOM;2,22;0,89;1;5;5;4;2;NOM
about;abu;about;NOM;5,94;5,94;1;5;5;3;2;NOM
aboya;abwaja;aboyer;VER;7,43;0;0;5;0;0;3;VER
aboyé;abwaje;aboyer;VER;7,43;0,28;0;5;0;6;3;VER
abris;abRi;abri;NOM;25,9;3,2;0;5;0;4;2;NOM
abusa;abyza;abuser;VER;20;0,02;0;5;0;0;3;VER
abuse;abyz;abuser;VER;20;4,08;0;5;0;0;2;VER
abusé;abyze;abuser;VER;20;4,59;0;5;5;5;3;VER,ADJ
abusé;abyze;abusé;ADJ;0,2;0,1;1;5;5;5;3;VER,ADJ
abyme;abim;abyme;NOM;0,04;0,04;1;5;4;4;2;NOM
abêti;abeti;abêti;ADJ;0;0;1;5;5;5;3;ADJ,VER
abêti;abeti;abêtir;VER;0,01;0;0;5;5;5;3;ADJ,VER
abîma;abima;abîmer;VER;15,83;0,1;0;5;0;0;3;VER
abîme;abim;abîme;NOM;6,01;5,03;1;5;5;4;2;NOM,VER
abîme;abim;abîmer;VER;15,83;2,21;0;5;5;4;2;NOM,VER
abîmé;abime;abîmer;VER;15,83;3,57;0;5;0;5;3;VER
accro;akRo;accro;ADJ;6,81;6,22;1;5;5;4;2;ADJ,NOM
accro;akRo;accro;NOM;2,56;1,66;1;5;5;4;2;ADJ,NOM
accru;akRy;accroître;VER;3,51;0,39;0;5;5;4;2;VER,ADJ
accru;akRy;accru;ADJ;0,57;0,24;1;5;5;4;2;VER,ADJ
accus;aky;accu;NOM;0,11;0,11;0;5;0;3;2;NOM
accès;aksE;accès;NOM;29,53;29,53;1;5;4;4;2;NOM
achat;aSa;achat;NOM;9,75;5,2;1;5;5;3;2;NOM
aches;aS;ache;NOM;0;0;0;5;0;2;1;NOM
acide;asid;acide;ADJ;2,5;1,86;1;5;5;4;2;ADJ,NOM
acide;asid;acide;NOM;9,46;8,44;1;5;5;4;2;ADJ,NOM
acier;asje;acier;NOM;13,88;13,85;1;5;4;4;2;NOM
acnés;akne;acné;NOM;1,9;0;0;5;0;3;2;NOM
acres;akR;acre;NOM;0,83;0,56;0;5;0;3;1;NOM
actes;akt;acte;NOM;56,81;17,62;0;5;0;3;1;NOM
actif;aktif;actif;ADJ;10,15;4,12;1;5;5;5;2;ADJ,NOM
actif;aktif;actif;NOM;1,58;0,84;1;5;5;5;2;ADJ,NOM
